trained	untrained
#M2 ascending
3.58	2.75
2.08	2.25	
2.58	2.50 
3.83	4.08
3.00	3.17
5.33	5.58
2.58	3.33
4.17	4.83
5.25	5.25
4.92	4.83
4.42	5.08
3.42	2.92
4.42	5.50
6.00	5.08
5.92	5.33
5.75	5.67
4.25	3.17 
5.42	5.08
2.92	3.67	
4.00	5.25
4.17	4.00
4.00	3.33
3.17	3.00
1.75	2.17
3.25	3.33	
#M2 descending	
3.92	2.67
1.75	1.83
2.75	3.08
2.42	2.75
3.08	3.25
5.33	4.33
2.92	2.83
4.58	5.00
3.50	3.50
5.50 	4.83
5.67	5.25
4.75	4.42
4.67	5.42
3.50	3.83
4.67	4.92
5.17	5.92
5.08	4.42
6.25	5.17
3.00	3.42
5.83	5.25
3.58	3.75
5.00	4.08
3.83	3.58
2.42	2.33
4.83	4.75
#m3 ascending
4.42	3.75
2.33	2.25
3.25	3.83		
2.75	3.25
3.83	3.67
5.92	5.00
2.92	2.67
4.75	5.25
4.08	3.83
4.83	5.17
5.92	5.25
4.17	4.33
5.33	5.33
3.50	4.25
6.00	5.67
3.92	3.83
5.33	5.50
6.58	5.75
2.58	3.50
6.08	5.83
2.67	3.25
5.58	5.58
3.50	3.17
1.75	2.58
4.08	4.33
#m3 descending
3.17	2.42
2.25	2.08	
2.00	2.33
4.50	3.92
2.67	2.50 
3.75	4.00
3.00	2.83
4.17	4.67
5.75	5.75
4.67	3.83
5.67	6.42
4.17	3.67
4.83	5.17
5.67	4.83
4.83	4.50
5.25	6.25
4.17	4.42
5.67	5.67
3.83	3.75
4.67	5.33
6.08	4.92
3.17	3.42
3.50	4.33
2.08	2.58
3.83 	3.92
#M6 ascending
3.25	3.42
4.08	4.08
3.33	3.50
5.00	4.00
4.08	3.33
4.58	4.08
3.17	3.75
3.75	4.25
5.75	5.25
3.42	3.33
6.17	6.00
4.33	4.42
5.17	5.50
5.83	5.33
4.58	4.58
5.33	5.75
4.08	3.50
4.17	5.25
2.75	3.83
4.00	4.75
5.25	5.00
2.50	3.58
4.08	3.50
2.00	2.17
4.00	4.25
#M6 descending
3.50	2.83
1.50	2.33
2.92	2.83
2.33	1.92
2.58	2.33
5.25	4.33
2.42	3.00
3.83	3.50
3.17	3.42
5.00	4.50
5.58	5.42
4.83	4.67
5.67	5.33
4.67	3.92
5.00	5.08
5.00	4.83
4.33	5.33
6.58	5.42
3.33	3.33
6.25	6.25
4.83	4.50
5.67	5.08
5.08	4.58
3.00	3.25
5.25	4.83
#m7 ascending
4.67	5.00
3.08	2.83
4.08	4.25
4.42	3.67
4.42	4.33
4.75	4.92
3.42	3.42
4.83	4.58
3.42	3.42
5.33	5.67
5.17	5.33
5.17	4.83
4.75	5.08
3.58	4.17	
5.42	5.25
4.25	4.50
3.92	4.75
4.58	5.25
3.92	3.58
4.75	5.58
3.33	3.83
5.00	4.58
2.50	3.17
2.33	3.42
4.33	4.33
#m7 descending
3.75	3.00
2.58	2.08	
2.08	2.83
2.50	3.08
2.33	2.25
4.42	4.67
2.17	2.58
3.67	4.00
3.92	4.17
4.33	4.00
4.58	5.50
4.67	4.25
4.83	5.25
5.00	5.17
4.42	4.92
4.58	5.42
3.92	4.67
5.42	5.83
3.75	3.42
4.50	5.25
5.58	5.67
5.25	5.33
4.33	4.83
3.25	2.67
4.92	5.08
