chorale note	    average     weighted    best 
#Chorale no. 151; BWV 379; index100 68; index185 125 
151	1           2.930937    0.957894    0.090342    
151	2           2.206861    0.656640    0.074001    
151	3           2.336502    0.534209    0.074001    
151	4           3.150458    1.912436    1.000000    
151	5           2.130448    0.902497    0.401444    
151	6           3.068759    0.853150    0.074001    
151	7           1.006953    0.491038    0.074001    
151	8           2.016448    0.935766    0.074001    
151	9           2.183184    1.306066    0.745648    
151	10          3.788874    2.607037    1.692872    
151	11          2.490702    1.272206    0.597933    
151	12          2.069026    0.880979    0.090342    
151	13          1.927850    0.949596    0.074001    
151	14          0.829520    0.378676    0.074001    
151	15          0.997265    0.355032    0.074001    
151	16          1.584062    0.833458    0.074001    
151	17          1.030098    0.685304    0.074001    
151	18          3.368064    2.359108    1.559367    
151	19          4.425758    3.674093    2.701323    
151	20          2.084820    1.278906    0.597933    
151	21          2.402715    1.076243    0.090342    
151	22          2.732602    1.406150    0.669786    
151	23          5.696996    4.720176    4.276716    
151	24          1.604776    0.785246    0.074001    
151	25          1.365675    0.420772    0.074001    
151	26          0.731076    0.382051    0.074001    
151	27          1.400381    0.552014    0.074001    
151	28          0.649704    0.209383    0.074001    
151	29          0.362676    0.124324    0.074001    
# Chorale no. 61; BWV 159; index100 45 
61	1           4.372806    4.259087    3.709668    
61	2           4.600583    4.436257    3.914803    
61	3           1.949929    1.745861    1.234465    
61	4           2.467827    2.051185    1.387978    
61	5           1.140613    0.615833    0.074001    
61	6           1.101392    0.759403    0.074001    
61	7           0.354514    0.223250    0.074001    
61	8           3.126618    2.348736    1.653355    
61	9           2.209907    1.775677    1.309002    
61	10          1.063258    0.862583    0.529281    
61	11          1.265056    1.010651    0.381010    
61	12          2.088859    1.279895    0.694555    
61	13          2.563018    1.014545    0.551945    
61	14          0.277938    0.231826    0.074001    
61	15          2.012911    1.079736    0.485398    
61	16          4.058042    3.149491    2.627747    
61	17          2.070164    1.482019    1.063108    
61	18          0.839252    0.644375    0.283843    
61	19          1.215884    0.768625    0.074001    
61	20          1.876725    0.639986    0.074001    
61	21          2.228602    0.426898    0.074001    
61	22          1.129313    0.988239    0.574756    
61	23          1.531557    0.995551    0.574756    
61	24          0.780537    0.555826    0.074001    
61	25          3.433885    3.177653    2.973639    
61	26          2.279673    1.031332    0.621488    
61	27          1.091152    0.394724    0.074001    
61	28          2.303564    1.626437    1.198593    
61	29          3.175621    2.539177    2.136062    
61	30          0.741260    0.511776    0.074001    
61	31          2.336551    1.388258    0.745570    
61	32          0.908520    0.573565    0.074001    
61	33          1.039125    0.719990    0.074001    
61	34          1.979346    1.046440    0.574756    
61	35          3.227000    2.474275    2.003710    
61	36          3.311388    2.537696    2.045884    
61	37          1.492620    1.160376    0.574756    
61	38          2.640952    1.091198    0.645435    
61	39          0.104129    0.101555    0.074001    
61	40          1.317927    0.826857    0.621488    
61	41          0.757249    0.452898    0.074001    
61	42          0.258914    0.198341    0.074001    
61	43          2.448113    1.041292    0.551945    
61	44          3.804334    3.630750    3.197509    
61	45          3.822769    2.204303    1.754383    
61	46          0.934520    0.547017    0.074001    
61	47          1.274562    0.821505    0.228368    
61	48          0.688547    0.452443    0.074001    
61	49          0.545192    0.284617    0.074001    
61	50          1.992135    1.144221    0.621488    
61	51          1.080698    0.703420    0.485398    
61	52          0.435768    0.326818    0.074001    
61	53          1.358832    0.757113    0.074001    
61	54          0.449822    0.305780    0.074001    
61	55          0.384458    0.223475    0.074001    
61	56          0.201493    0.141193    0.074001    
61	57          0.074001    0.074001    0.074001    


